stt,name,business_id,website,email,phone,address,postal_code,city,province,keyword,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url
1068,JMK Staff Oy,3605733-2,,,,Telkkätie 3 A,90150,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4282018
1069,JMS Team Oy,3148108-9,https://www.jmsteam.fi,juha.moilanen@jmsteam.fi,050 552 9682,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,49420,Muuttopalvelut,Henkilöstövuokraus,Osakeyhtiö,365,,14,,,https://www.finder.fi/yritys/3503825
1070,JN Agri,3363617-9,,,,,,KRUUNUPYY,Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4006806
1071,JN. Nousiainen Oy,3409124-6,,,040 013 1872,Lapinlahdentie 1781 B,73100,LAPINLAHTI,Pohjois-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,100,1,15,,,https://www.finder.fi/yritys/4064759
1072,JPP-Palvelu,2731022-8,,jukka.p.piiroinen@gmail.com,040 574 7899,,,KANGASALA,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3107319
1073,JR Event Oy,3474251-2,,,,,,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4137882
1074,JR Psykiatri Ab Oy,3464059-1,,,,,,VAASA,Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,289,1,137,,,https://www.finder.fi/yritys/4126526
1075,JS Konepalvelut Oy,3597304-8,,,,,,HÄMEENLINNA,Kanta-Hämeen maakunta,Henkilöstövuokraus,43120,Rakennuspaikan valmistelutyöt,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4272356
1076,JSI Ammattirekry Oy,2816226-3,,toimisto@amisrekry.fi,045 787 705 00,Jarrumiehenkatu 3 A,20100,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,4,,,https://www.finder.fi/yritys/3161515
1077,JStrawberry,3449505-6,,jstrawberry24@hotmail.com,045 341 3821,Mansikintie 14,52300,RISTIINA,Etelä-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4111729
1078,JT Laaksonen Oy,3207317-5,,,044 975 3599,Marinkallio 8 B 29,02320,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,63,1,16,,,https://www.finder.fi/yritys/3584070
1079,JTM-Yhtiöt Oy,3180598-7,,lahdenperavaunukeskus@gmail.com,040 099 9922,,,LAHTI,Päijät-Hämeen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,19,,9,,,https://www.finder.fi/yritys/3554265
1080,JTV-Partner Oy,2249818-8,https://www.jtv-partner.fi,rekrytointi@jtv-partner.fi,050 444 3112,Jasperintie 5,33960,PIRKKALA,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,HR-konsultointi; Henkilöstövuokraus,Osakeyhtiö,15259,,-13,,,https://www.finder.fi/yritys/2097404
1081,JWD Palvelut Oy,2908816-5,https://www.jwdpalvelut.fi,karo.lehto@jwdpalvelut.fi,040 166 3747,Malminkaari 9 A,00700,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,2418,33,-32,,,https://www.finder.fi/yritys/3223315
1082,Jaanatiina Oy,1099015-9,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2109,58,5,,,https://www.finder.fi/yritys/486256
1083,Jabir venture,3499020-9,,khairul.m.amin@gmail.com,046 586 4731,Lauri Korpisen Katu 8 A 1,01370,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4165441
1084,Jade Advertising Model Agency Oy,2728108-4,https://www.jademodel.fi,jatta@jademodel.fi,045 352 4445,,,HÄMEENLINNA,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,84,1,26,,,https://www.finder.fi/yritys/3105745
1085,Jakaar Oy,3620816-1,,,,,,OKSAVA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4302084
1086,JakeMa Palvelut Oy,2986877-8,https://www.kotijahoivapalveluiikku.fi,markomakinen0@gmail.com,044 018 6865,Korpi-Jaakonkatu 5,80220,JOENSUU,Pohjois-Karjalan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,19,1,-4,,,https://www.finder.fi/yritys/3270304
1087,Jakobsson & Son Oy,2593434-4,,ottojakobsson@gmail.com,050 369 4763,Kaskisavu 13 as. 3,02340,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,4,,,,,https://www.finder.fi/yritys/2860038
1088,Ab Royahl Oy,0647060-1,,info@crystalart.fi,,Norrmalmsgatan 8,68600,PIETARSAARI,Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,70,,12,,,https://www.finder.fi/yritys/864473
1089,Jalog Oy,3246963-9,,jalogoy@gmail.com,,Hoitotie 4 B 25,96400,ROVANIEMI,Lapin maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,42,,4,,,https://www.finder.fi/yritys/3691892
1090,Jalon Liikenne Oy,0459123-1,https://www.tilausajoturku.fi,,02 235 6900,Riitasuonkatu 27,20360,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,10662,,125,,,https://www.finder.fi/yritys/186098
1091,Jama.sayid,3475697-3,,zydli328@gmail.com,045 329 2068,,,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4139627
1092,Jamarck Oy,3651622-8,,,,,,SÄÄSKJÄRVI,Päijät-Hämeen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4335036
1093,Janwall Oy Ltd,2194355-0,https://www.janwall.fi,juha.parnanen@janwall.fi,040 065 3907,Olavinkatu 53,57100,SAVONLINNA,Etelä-Savon maakunta,Henkilöstövuokraus,30110,Siviilikäyttöön tarkoitettujen laivojen ja kelluvien rakenteiden rakentaminen,Henkilöstövuokraus,Osakeyhtiö,113,1,-23,,,https://www.finder.fi/yritys/1900754
1094,Jartovaara,3128906-2,,jartovaara@gmail.com,045 879 9614,Vasamakatu 6 A 7,04230,KERAVA,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3694407
1095,Jasmin Lampinen,3609850-5,,jasmin.m.lampinen@gmail.com,,Tarkk'Ampujankatu 14 A 17,00150,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4286158
1096,Jebokab Oy,3435217-8,,,,Maamiehenkuja 79 G,00760,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,10,,-4,,,https://www.finder.fi/yritys/4094109
1097,Jelotelli,2953397-8,,,,,,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,88109,"Muu ikääntyneiden, vammaisten ja kehitysvammaisten sosiaalihuollon avopalvelutoiminta",Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4116351
1098,JenTes,2162923-8,,kristian.koivusaari@gmail.com,03 811 9409,,,Lahti,Päijät-Hämeen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/1702585
1099,JerMu Works Oy,3584972-5,,jermuworksoy@gmail.com,040 159 6894,,,KANNUS,Keski-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4255381
1100,Jere Arvola Oy,3568433-4,,,,,,OKSAVA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4239265
1101,Ab Jesso,3369563-8,https://www.pikazzo.fi,,,,,KUUSANKOSKI,Kymenlaakson maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,117,2,,,,https://www.finder.fi/yritys/4014410
1102,JiiMVee Oy,3422306-9,,,,Huurutie 2 C 37,90630,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,68,1,3,,,https://www.finder.fi/yritys/4080798
1103,Jiinow Rooble Taksi Oy,3447968-9,,,044 242 6300,,,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,41,,-1,,,https://www.finder.fi/yritys/4110201
1104,Jjj-Invest Oy,2937691-7,,jani.kaunismaki83@luukku.com,050 357 9310,Kastulantie 4,39660,LAPINNEVA,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,4,60,,,https://www.finder.fi/yritys/3243596
1105,JJK-Palvelu Ky,1948678-4,,jkoivunu@welho.com,044 946 3740,Pakkalanrinne 7 A 4,01510,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Kommandiittiyhtiö,,,,,,https://www.finder.fi/yritys/921052
1106,Jl Fix Ab,3309326-6,,,044 237 2302,Västerbyvägen 7,68560,EUGMO,Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,41,,-6,,,https://www.finder.fi/yritys/3860673
1107,JL-Service,1715482-3,,,040 085 0161,Mäntymäentie 22,12700,LOPPI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/880518
1108,Jo-Ri Yhtiöt Oy,2891171-1,,,050 308 3083,Keilatie 1,71470,ORAVIKOSKI,Pohjois-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,123,2,5,,,https://www.finder.fi/yritys/3207982
1109,JoKa Group Oy,2914588-7,,,,Valjaspolku 7 K 13,92150,RAAHE,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,82,2,11,,,https://www.finder.fi/yritys/3227373
1110,Job Design Oy,2210069-4,,pauli.juusola@luukku.com,040 558 7376,Viirinmäki 14,92210,ARKKUKARI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,115,3,-2,,,https://www.finder.fi/yritys/2024924
1111,Job To Do Oy,3262631-5,https://www.jobtodo.fi,info@jobtodo.fi,040 900 8243,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,659,20,-37,,,https://www.finder.fi/yritys/3768332
1112,JobFocus Oy,3620546-2,,,,,,ROVANIEMI,Lapin maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4301982
1113,JobMakers Oy,3118503-6,,timok.laukkanen@outlook.com,040 082 7261,,,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,254,,,,,https://www.finder.fi/yritys/3362411
1114,JobNord OÜ sivuliike Suomessa,3295304-1,https://www.jobnord.fi,kai@jobnord.fi,045 600 9495,Antinkatu 3 D 7,00100,HELSINKI,,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Ulkom.elinkeinonharj.sivuliike,969,17,-55,,,https://www.finder.fi/yritys/4082798
1115,JobVersum Oy,3518339-6,,,,,,Pori,Satakunnan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4188833
1116,Jobby Oy,3611736-6,,,,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4292151
1117,Jobexio Talent Agency Oy,3322807-9,https://www.jobexio.fi,harri.vesterinen@jobexio.com,041 510 5860,,,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1325,,8,,,https://www.finder.fi/yritys/3882736
1118,Jobifinder Oy,3569880-8,https://www.yritysfinder.fi,info@yritysfinder.fi,,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,1,-3,,,https://www.finder.fi/yritys/4241074
1119,Joblink Hyllytys Oy,2874757-9,https://www.joblink.fi,antti.kimpimaki@joblink.fi,050 370 7310,Linnoitustie 9,02600,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3405,7,2,,,https://www.finder.fi/yritys/3199362
1120,Joblink NorthEast Oy,3370042-5,https://joblink.fi,antti.kimpimaki@joblink.fi,,Linnoitustie 9,02600,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,429,,-5,,,https://www.finder.fi/yritys/4014625
1121,Joblink Oy,2041286-2,https://www.joblink.fi,kauppa@joblink.fi,010 207 4310,Linnoitustie 9,02600,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,17261,487,144,,,https://www.finder.fi/yritys/960821
1122,Jobnet Oy,1515070-6,https://www.jobnet.fi,jobnet@jobnet.fi,09 292 2107,Juholankatu 22 A 10,04400,JÄRVENPÄÄ,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2201,34,-27,,,https://www.finder.fi/yritys/141795
1123,Jobros Oy,3175507-8,https://www.jobros.fi,jaakko.jatinvuori@jobros.fi,044 255 0505,Yliopistonkatu 31 A 18,20100,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,5656,29,306,,,https://www.finder.fi/yritys/3547801
1124,JoeVi Palvelut Oy,3197063-2,,joevipalvelut@gmail.com,010 592 1780,Merivirta 14 F 48,02320,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,82,,2,,,https://www.finder.fi/yritys/3573112
1125,Joensuun Tori-Carlson Oy,2059366-7,,,020 742 7000,Kauppakatu 36,70110,KUOPIO,Pohjois-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,559,11,,,,https://www.finder.fi/yritys/1241371
1126,Johannes Terveyspalvelut Oy,2475554-7,,murra.yahya@gmail.com,045 656 7186,,,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,61,2,7,,,https://www.finder.fi/yritys/2693998
1127,Jokatyö A. Pietilä,2663085-2,,,,Pihlajapolku 5,04600,MÄNTSÄLÄ,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3053488
1128,Jokilaaksojen Nuorten Tuki ry,1836135-7,https://www.snack.fi,auli.mikkola@snack.fi,050 542 3404,Kauppakatu 21 A 2,85800,HAAPAJÄRVI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Aatteellinen yhdistys,,,,,,https://www.finder.fi/yritys/2918523
1129,Jokisen Jouni Oy,3458111-4,,,,,,HUITTINEN,Satakunnan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,79,,12,,,https://www.finder.fi/yritys/4121542
1130,Jokotai Osuuskunta,3096566-3,,,,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osuuskunta,96,,3,,,https://www.finder.fi/yritys/3338518
1131,Joonas Kuure Oy,3502849-2,,kuure.joonas@gmail.com,,,,TORNIO,Lapin maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,57,1,5,,,https://www.finder.fi/yritys/4169631
1132,Joonas Virrankari Oy,3584570-8,,,,Huosiusniementie 5,89200,PUOLANKA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4255091
1133,Jori Kaksonen,3231156-7,,jori.kaksonen@gmail.com,050 491 1548,Honkakaari 15,21110,NAANTALI,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3680344
1134,Jot-Rent Oy,0839349-4,https://www.jot-rent.fi,info@jot-rent.fi,08 221 707,Huoltokatu 4,92150,RAAHE,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Rekrytointi; Teollisuuden kunnossapito,Osakeyhtiö,4063,78,295,,,https://www.finder.fi/yritys/142191
1135,Jsn-Service Oy,3396297-8,,,050 919 5249,Käpytie 3 B 6,36600,PÄLKÄNE,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,145,2,13,,,https://www.finder.fi/yritys/4048806
1136,Ju-Jok Oy,2785594-9,,,040 042 8647,Papinsillantie 219,30100,FORSSA,Kanta-Hämeen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,51,,-46,,,https://www.finder.fi/yritys/3145353
1137,Ju-Pena Oy,2272037-5,,,040 090 8708,Turkimustie 13,39200,KYRÖSKOSKI,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,126,1,42,,,https://www.finder.fi/yritys/2186690
1138,JuMa Option Oy,3473317-3,,,,,,REVONLAHTI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,-6,,,https://www.finder.fi/yritys/4136859
1139,JuhAnne Oy,3317024-1,,juhanneoy@gmail.com,040 575 8587,Saloharjuntie 256,72600,KEITELE,Pohjois-Savon maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,8,,-3,,,https://www.finder.fi/yritys/3873936
1140,Jukka Iiliäinen,1157270-9,,,,Hauenkalliontie 4,02170,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4296934
1141,Junico Oy,3492096-4,,,,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,41,1,2,,,https://www.finder.fi/yritys/4155492
1142,Junnila Joni,2040388-6,,junnilaoy@gmail.com,040 758 0959,Vanhamaantie 29 B 29,86170,YPPÄRI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/1237414
1143,Junnu Palvelut Oy,3414948-7,,,,,,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,1,,,https://www.finder.fi/yritys/4072487
1144,Juno Shipping Oy,3195040-4,,,,Hevoskarintie 23,20100,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,-1,,,https://www.finder.fi/yritys/3571010
1145,Juopporenki Oy,3234014-9,,juopporenki@gmail.com,040 515 3742,,,LIMINKA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,96,1,7,,,https://www.finder.fi/yritys/3658332
1146,Juslog Oy,3471572-5,,,,,,KYRÖSKOSKI,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,376,4,15,,,https://www.finder.fi/yritys/4135296
1147,Juster Palvelut Oy,3598276-1,,,,,,KERAVA,Uudenmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4273520
1148,Jutove Oy,3090809-5,,,,,,PERÄSEINÄJOKI,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,70,,67,,,https://www.finder.fi/yritys/3332003
1149,Juuresranta Oy,3228691-2,,anderssonatte@gmail.com,044 975 5602,Tanhumäentie 10,04420,JÄRVENPÄÄ,Uudenmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,83,1,14,,,https://www.finder.fi/yritys/3638183
1150,Juvera Consulting Oy,3573614-9,,,,,,PIRKKALA,Pirkanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4245393
1151,Juvi Works Oy,3596865-2,,,,,,KALAJOKI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4271872
1152,Jwd Palvelut Pohjoinen Oy,3155440-1,,,,Kempeleentie 7,90400,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,995,13,-91,,,https://www.finder.fi/yritys/3512969
1153,Jälkipyykki Oy,3301903-1,,,,,,ALA-TEMMES,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,81210,Kiinteistöjen siivous,Henkilöstövuokraus,Osakeyhtiö,27,1,6,,,https://www.finder.fi/yritys/3847671
