name,email,website,phone,address,member_id,profile_url
TS RĪGA,dderaedt@groupesee.com,www.ts-industrie.eu,+371 63020330,"Aviācijas iela 18A, Jelgava, LV-3004",386,https://www.masoc.lv/en/members/member-database/386
TUV NORD BALTIK,info@tuv-nord.lv,www.tuv-nord.lv,+371 24990980,"Pulka iela 3, Rīga, LV-1007",404,https://www.masoc.lv/en/members/member-database/404
UNITRUCK,info@unitruck.lv,www.unitruck.lv,+371 29188645,"Piebalgas iela 95, Cēsis, Cēsu nov., LV-4101",679,https://www.masoc.lv/en/members/member-database/679
VAIROGS-M,office@vairogsm.com,www.vairogsm.lv,+371 67801628,"Gustava Zemgala gatve 85, Rīga, LV-1039",215,https://www.masoc.lv/en/members/member-database/215
VALPRO,valpro@valpro.lv,www.valpro.lv,+371 64207240,"Linarda Laicena iela 2, Valmiera, Valmieras nov., LV-4201",284,https://www.masoc.lv/en/members/member-database/284
VALTANKS,valtanks@valtanks.lv,www.valtanks.lv,+371 64221047,"Cempu iela 23, Valmiera, Valmieras nov., LV-4201",398,https://www.masoc.lv/en/members/member-database/398
VBC GRUP,info@vbc.lv,www.vbc.lv,+371 28232293,"Gaismas iela 11, Stūnīši, Olaines pag., Olaines nov., LV-2127",671,https://www.masoc.lv/en/members/member-database/671
VENTSPILS METINĀŠANAS RŪPNĪCA,birojs@vmr.lv,www.vmr.lv,+371 63602390,"Rūpniecības iela 39, Ventspils, LV-3601",411,https://www.masoc.lv/en/members/member-database/411
VIC TEC,office@victec.lv,www.victec.lv,+371 22402659,"Aizputes iela 1, K-5, Rīga, LV-1046",647,https://www.masoc.lv/en/members/member-database/647
VILVE,vilve.sia@gmail.com,,+371 29681324,"Krustpils iela 15 - 2, Rīga, LV-1073",674,https://www.masoc.lv/en/members/member-database/674
VLAVI RESURSS,info@vlavi.com,www.vlavi.com,,"Daugavgrīvas iela 83, Rīga, LV-1007",615,https://www.masoc.lv/en/members/member-database/615
VR CARS,info@vrcars.eu,www.vrcars.eu,+371 29211639,"Loka ceļš 49, Jaunmārupe, LV-2166",605,https://www.masoc.lv/en/members/member-database/605
VRV TRADING,info@vrvmetals.lv,www.vrvmetals.lv,+371 28778668,"Pļavas iela 5, Cēsis, Cēsu nov., LV-4101",462,https://www.masoc.lv/en/members/member-database/462
WALDEC GROUP (LATVIA),latvia@waldecgroup.com,www.waldecgroup.com/,+371 27027956,"Atmodas 19, Jelgava, LV-3007",521,https://www.masoc.lv/en/members/member-database/521
WEMPS,info@wemps.eu,www.wemps.eu,+371 28632868,"Straupes iela 3, Rīga, LV-1073",600,https://www.masoc.lv/en/members/member-database/600
ZIEGLER,ziegler@ziegler.lv,www.ziegler-gmbh.com,+371 65404111,"Spaļu iela 3, Daugavpils, LV-5404",97,https://www.masoc.lv/en/members/member-database/97
ZIPPY VISION,info@zippyvision.com,www.zippyvision.com,+371 27770068,"Latgales iela 227, Rīga, LV-1019",541,https://www.masoc.lv/en/members/member-database/541
ZN METALS,jz@znmetals.lv,www.znmetals.lv,+371 29555987,"Aviācijas 18E, Jelgava, LV-3004",326,https://www.masoc.lv/en/members/member-database/326
ŽOGU FABRIKA,sales@zogufabrika.lv,www.zogufabrika.lv,+371 67214165,"Kalnciema ceļš 134A, Jelgava, LV-3002",467,https://www.masoc.lv/en/members/member-database/467
