orgnr,name,legal_name,phone,phone_all,email,website,address,postal_code,city,municipality,county,region,employees,contact_name,contact_role,revenue,profit,currency,status,company_id,proff_url,brreg_url,Check gui,nace_code,nace_name,legal_form,status_brreg
'835920372,Axora AS,Axora AS,'48607222,'48607222,post@axora.no,,Rekruttveien 10,1639,Gamle Fredrikstad,Fredrikstad,Østfold,Østlandet,1 - 4,Andreas Harreschou,Styrets leder,366,49,NOK,,IDTOOAC10LU,https://www.proff.no/selskap/axora-as/gamle-fredrikstad/arbeidskrafttjenester/IDTOOAC10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/835920372,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'918717498,BJØRN ERIK ESPELAND AS,Bjørn Erik Espeland AS,'97098423,'97098423,,,Nesgata 18 F,4934,Nes Verk,Tvedestrand,Agder,Sørlandet,1 - 4,Bjørn Erik Espeland,Styrets leder,365,21,NOK,,IF6ZAYI10LU,https://www.proff.no/selskap/bj%C3%B8rn-erik-espeland-as/nes-verk/arbeidskrafttjenester/IF6ZAYI10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/918717498,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'929002067,Esr Tech Talent AS,Esr Tech Talent AS,,,,,Klingenberggata 7 A,0161,Oslo,Oslo,Oslo,Østlandet,,Ove Trygve Schøyen,Daglig leder,365,32,NOK,,IFD3QKZ10LU,https://www.proff.no/selskap/esr-tech-talent-as/oslo/arbeidskrafttjenester/IFD3QKZ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/929002067,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'913318471,Zillica AS,Zillica AS,,,,,Økernveien 121,0579,Oslo,Oslo,Oslo,Østlandet,21,Per Kristian Østern,Styrets leder,363,-80,NOK,,IF3RL1J10LU,https://www.proff.no/selskap/zillica-as/oslo/arbeidskrafttjenester/IF3RL1J10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/913318471,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'926876414,Hovedsjefen AS,Hovedsjefen AS,,,,,Feskarbyvegen 4,7970,Kolvereid,Nærøysund,Trøndelag,Midt-Norge,,Roger Holm,Daglig leder,361,-33,NOK,,IFBU6F210LU,https://www.proff.no/selskap/hovedsjefen-as/kolvereid/arbeidskrafttjenester/IFBU6F210LU,https://virksomhet.brreg.no/nb/oppslag/enheter/926876414,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'927440040,Kvisla AS,Kvisla AS,'+4748249899,,,,Storsjøvegen 639,2110,Slåstad,Sør-Odal,Innlandet,Østlandet,,Geir Ove Kvisla,Styrets leder,361,200,NOK,,IFC69BC10LU,https://www.proff.no/selskap/kvisla-as/sl%C3%A5stad/arbeidskrafttjenester/IFC69BC10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/927440040,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'995854627,Nedre Skalpe AS,Nedre Skalpe AS,,,,,Lerpeveien 315,3039,Drammen,Drammen,Buskerud,Østlandet,1 - 4,Jon Andreas Steen,Daglig leder,360,91,NOK,,IGGWMCJ10LU,https://www.proff.no/selskap/nedre-skalpe-as/drammen/arbeidskrafttjenester/IGGWMCJ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/995854627,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'934252160,Hh Consulting AS,Hh Consulting AS,'46413604,'46413604,hilde.herud@gmail.com,,Tråkka 4 B,0774,Oslo,Oslo,Oslo,Østlandet,1 - 4,Hilde Kristin Herud,Daglig leder,357,198,NOK,,IFG89KW10LU,https://www.proff.no/selskap/hh-consulting-as/oslo/arbeidskrafttjenester/IFG89KW10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/934252160,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'999092594,Eh Bygg AS,Eh Bygg AS,'41641603,'41641603,,,Nedre Hoffland 12,6057,Ellingsøy,Ålesund,Møre og Romsdal,Vestlandet,1 - 4,Halat Bamarni Lied,Daglig leder,355,8,NOK,,IGIU0S210LU,https://www.proff.no/selskap/eh-bygg-as/ellings%C3%B8y/arbeidskrafttjenester/IGIU0S210LU,https://virksomhet.brreg.no/nb/oppslag/enheter/999092594,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'925902195,Hockyrocky AS,Hockyrocky AS,,,,,Professor Keysers gate 5,5007,Bergen,Bergen,Vestland,Vestlandet,,Roger Urhaug,Daglig leder,352,-110,NOK,,IFB9APF10LU,https://www.proff.no/selskap/hockyrocky-as/bergen/arbeidskrafttjenester/IFB9APF10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/925902195,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'927715201,Lindheim Jordbruksutvikling AS,Lindheim Jordbruksutvikling AS,,,,,Skompenveien 1,3766,Sannidal,Kragerø,Telemark,Østlandet,,Kim Dalene,Daglig leder,350,-4,NOK,,IFCC5MP10LU,https://www.proff.no/selskap/lindheim-jordbruksutvikling-as/sannidal/arbeidskrafttjenester/IFCC5MP10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/927715201,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'931138901,Lys Bemanning Nord AS,Lys Bemanning Nord AS,'90063407,'90063407,tore@lysbemanning.no,,Skrenten 15,6411,Molde,Molde,Møre og Romsdal,Vestlandet,,Øystein Lona Svendsen,Daglig leder,350,40,NOK,,IFEDJDH10LU,https://www.proff.no/selskap/lys-bemanning-nord-as/molde/arbeidskrafttjenester/IFEDJDH10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/931138901,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'936392873,R. Slettmoen AS,R. Slettmoen AS,,,,,Torsvågveien 2107,9136,Vannareid,Karlsøy,Troms,Nord-Norge,1 - 4,Remi-Andre Slettmoen,Styrets leder,350,328,NOK,,IFHI5D510LU,https://www.proff.no/selskap/r.-slettmoen-as/vannareid/arbeidskrafttjenester/IFHI5D510LU,https://virksomhet.brreg.no/nb/oppslag/enheter/936392873,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'928822117,Olav Heggset AS,Olav Heggset AS,,,,,Bøvrasvegen 95,6650,Surnadal,Surnadal,Møre og Romsdal,Vestlandet,1 - 4,Olav Heggset,Daglig leder,347,10,NOK,,IFCZVQD10LU,https://www.proff.no/selskap/olav-heggset-as/surnadal/arbeidskrafttjenester/IFCZVQD10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/928822117,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'835394212,Cherry Bay AS,Cherry Bay AS,,,,,Henrik Sørensens vei 28,1065,Oslo,Oslo,Oslo,Østlandet,1 - 4,Tom Arve Sognebro,Daglig leder,345,5,NOK,,IDTDEAS10LU,https://www.proff.no/selskap/cherry-bay-as/oslo/arbeidskrafttjenester/IDTDEAS10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/835394212,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'989191691,Magdalena Holding AS,Magdalena Holding AS,'98468340,'98468340,,,Vedderheia 178,4642,Søgne,Kristiansand,Agder,Sørlandet,,Erik Himberg,Styrets leder,345,170,NOK,,IGCXT6Z10LU,https://www.proff.no/selskap/magdalena-holding-as/s%C3%B8gne/arbeidskrafttjenester/IGCXT6Z10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/989191691,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'992580003,Norlit AS,Norlit AS,'75525020,'75525020,,,Toppseilveien 7 B,8070,Bodø,Bodø,Nordland,Nord-Norge,,Steffen Aage Steffensen,Styrets leder,342,310,NOK,,IGEYFMR10LU,https://www.proff.no/selskap/norlit-as/bod%C3%B8/arbeidskrafttjenester/IGEYFMR10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/992580003,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'930000825,Kivelæ AS,Kivelæ AS,,,,,Stull Hansens vei 4 B,9910,Bjørnevatn,Sør-Varanger,Finnmark,Nord-Norge,,Mathias Kivelæ,Daglig leder,340,50,NOK,,IFDP58910LU,https://www.proff.no/selskap/kivel%C3%A6-as/bj%C3%B8rnevatn/arbeidskrafttjenester/IFDP58910LU,https://virksomhet.brreg.no/nb/oppslag/enheter/930000825,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'833903322,Kongsvinger Rekruttering AS,Kongsvinger Rekruttering AS,'41195687,'41195687,post@people.no,https://Www.people.no,Øvre Langelandsveg 7,2213,Kongsvinger,Kongsvinger,Innlandet,Østlandet,,Björn Sean-Michel Kevin Sunnqvist,Daglig leder,339,38,NOK,,IDSHFX610LU,https://www.proff.no/selskap/kongsvinger-rekruttering-as/kongsvinger/arbeidskrafttjenester/IDSHFX610LU,https://virksomhet.brreg.no/nb/oppslag/enheter/833903322,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'934403568,Jobb.No AS,Jobb.No AS,'47679538,'47679538,hei@jobb.no,https://jobb.no,Landstads gate 2,0457,Oslo,Oslo,Oslo,Østlandet,1 - 4,Ole Asheim Askeland,Daglig leder,338,10,NOK,,IFGBIEO10LU,https://www.proff.no/selskap/jobb.no-as/oslo/arbeidskrafttjenester/IFGBIEO10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/934403568,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'920992153,Knutsen Oas Ml AS,Knutsen Oas Ml AS,'52704000,'52704000,firmapost@knutsenoas.com,,Smedasundet 40,5529,Haugesund,Haugesund,Rogaland,Vestlandet,55,Trygve Seglem,Styrets leder,333,14,NOK,,IF8C23D10LU,https://www.proff.no/selskap/knutsen-oas-ml-as/haugesund/arbeidskrafttjenester/IF8C23D10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/920992153,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'981532406,Knutsen Oas Offshore AS,Knutsen Oas Offshore AS,'52704000,'52704000,firmapost@knutsenoas.com,,Smedasundet 40,5529,Haugesund,Haugesund,Rogaland,Vestlandet,45,Trygve Seglem,Daglig leder,333,13,NOK,,IG8DN9210LU,https://www.proff.no/selskap/knutsen-oas-offshore-as/haugesund/arbeidskrafttjenester/IG8DN9210LU,https://virksomhet.brreg.no/nb/oppslag/enheter/981532406,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'998241545,Tveite Service AS,Tveite Service AS,,,,,Tveitavegen 158,5713,Vossestrand,Voss,Vestland,Vestlandet,,Kolbein Tveite,Styrets leder,330,-8,NOK,,IGIBS3T10LU,https://www.proff.no/selskap/tveite-service-as/vossestrand/arbeidskrafttjenester/IGIBS3T10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/998241545,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'929209567,Skinnes AS,Skinnes AS,'94468939,'94468939,,,Ulvenveien 112,0665,Oslo,Oslo,Oslo,Østlandet,,Christian Henry Ringholm Skinnes,Daglig leder,329,-36,NOK,,IFD86OV10LU,https://www.proff.no/selskap/skinnes-as/oslo/arbeidskrafttjenester/IFD86OV10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/929209567,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'981905237,Aspøypall AS,Aspøypall AS,'90563217,'90563217,,,Aspøyvegen 48,6670,Øydegard,Tingvoll,Møre og Romsdal,Vestlandet,,Gudmund Skjevling,Daglig leder,329,-4,NOK,,IG8LMXH10LU,https://www.proff.no/selskap/asp%C3%B8ypall-as/%C3%B8ydegard/arbeidskrafttjenester/IG8LMXH10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/981905237,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'999308376,Møre Bilinnredning AS,Møre Bilinnredning AS,,,,,Kvitveisstien 21,6440,Elnesvågen,Hustadvika,Møre og Romsdal,Vestlandet,,John Even Gjendem,Daglig leder,327,67,NOK,,IGIYNA010LU,https://www.proff.no/selskap/m%C3%B8re-bilinnredning-as/elnesv%C3%A5gen/arbeidskrafttjenester/IGIYNA010LU,https://virksomhet.brreg.no/nb/oppslag/enheter/999308376,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'935865247,Bluepaper AS,Bluepaper AS,'+4747707779,,post@bluepaper.no,https://www.bluepaper.no/,Bakkehågån 18,2849,Kapp,Østre Toten,Innlandet,Østlandet,1 - 4,Thomas Auke,Styrets leder,325,75,NOK,,IFH6U8V10LU,https://www.proff.no/selskap/bluepaper-as/kapp/arbeidskrafttjenester/IFH6U8V10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/935865247,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'928470121,Curaliv Norge Nuf,Curaliv Norge Nuf,,,,,Järva skjutbaneväg 62 SE-170 62 SOLNA,,,,,,,Sipan Mahmut Ardil,Daglig leder,320,-94,NOK,,IFCSC4P10LU,https://www.proff.no/selskap/curaliv-norge-nuf/-/arbeidskrafttjenester/IFCSC4P10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/928470121,,78.100,Rekruttering og formidling av arbeidskraft,NUF,Aktiv
'997796551,Øverby Consulting AS,Øverby Consulting AS,'90526841,'90526841,oeverby@operamail.com,,Munkedamsveien 59 B,0270,Oslo,Oslo,Oslo,Østlandet,1 - 4,Pål Steinar Øverby,Daglig leder,319,-18,NOK,,IGI28QV10LU,https://www.proff.no/selskap/%C3%B8verby-consulting-as/oslo/arbeidskrafttjenester/IGI28QV10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/997796551,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'925853305,K og J AS,K og J AS,,,,,Nyrudveien 1803,9926,Pasvik,Sør-Varanger,Finnmark,Nord-Norge,1 - 4,Julianne Seljesæther,Daglig leder,316,-45,NOK,,IFB88ZD10LU,https://www.proff.no/selskap/k-og-j-as/pasvik/arbeidskrafttjenester/IFB88ZD10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/925853305,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'925071269,Bousaidi Bemanning og Administrasjon Sa,Bousaidi Bemanning og Administrasjon Sa,'98873375,'98873375,kurtulveseth@gmail.com,,Olsvikveien 38 A,5184,Olsvik,Bergen,Vestland,Vestlandet,,Kurt Normann Ulveseth,Daglig leder,314,-17,NOK,,IFARHK510LU,https://www.proff.no/selskap/bousaidi-bemanning-og-administrasjon-sa/olsvik/arbeidskrafttjenester/IFARHK510LU,https://virksomhet.brreg.no/nb/oppslag/enheter/925071269,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,SA,Aktiv
'985828415,Vizir Pa AS,Vizir Pa AS,'55707025,'55707025,post@vizir.no,https://vizir.no,Ny-Paradis 15,5230,Paradis,Bergen,Vestland,Vestlandet,1 - 4,Finn Jens Sævil,Daglig leder,314,102,NOK,,IGAXQ2N10LU,https://www.proff.no/selskap/vizir-pa-as/paradis/arbeidskrafttjenester/IGAXQ2N10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/985828415,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'825926992,Høst Search & Selection AS,Høst Search & Selection AS,,,,,Åstadryggen 2,1396,Billingstad,Asker,Akershus,Østlandet,1 - 4,Maria Henriette Høst,Daglig leder,312,-293,NOK,,IDNQHCG10LU,https://www.proff.no/selskap/h%C3%B8st-search-selection-as/billingstad/arbeidskrafttjenester/IDNQHCG10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/825926992,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'834011522,Håndverkersentralen AS,Håndverkersentralen AS,'+4791900501,,haandverkersentralen@gmail.com,https://haandverkersentralen.no/,Sikthaugen terrasse 55,5145,Fyllingsdalen,Bergen,Vestland,Vestlandet,,Even Hopland Sørskog,Daglig leder,308,-10,NOK,,IDSJREQ10LU,https://www.proff.no/selskap/h%C3%A5ndverkersentralen-as/fyllingsdalen/arbeidskrafttjenester/IDSJREQ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/834011522,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'914303974,Alt i 1 Bergen AS,Alt i 1 Bergen AS,,,,,Hjellestadvegen 317,5259,Hjellestad,Bergen,Vestland,Vestlandet,,Rune Aasegg,Daglig leder,306,60,NOK,,IF4CPGM10LU,https://www.proff.no/selskap/alt-i-1-bergen-as/hjellestad/arbeidskrafttjenester/IF4CPGM10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/914303974,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'919058404,DAGMAMMA AS,Dagmamma AS,'40012500,'40012500,knut@dagmamma.no,https://www.dagmamma.no,Frognerveien 1 B,0257,Oslo,Oslo,Oslo,Østlandet,,Knut Magne Korssjøen Whist,Daglig leder,306,-11,NOK,,IF76M0410LU,https://www.proff.no/selskap/dagmamma-as/oslo/arbeidskrafttjenester/IF76M0410LU,https://virksomhet.brreg.no/nb/oppslag/enheter/919058404,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'926645714,Sørmeland Sjø AS,Sørmeland Sjø AS,,,,,Furuhaugveien 10,7740,Steinsdalen,Osen,Trøndelag,Midt-Norge,,Vidar Sørmeland,Styrets leder,306,248,NOK,,IFBP8EQ10LU,https://www.proff.no/selskap/s%C3%B8rmeland-sj%C3%B8-as/steinsdalen/arbeidskrafttjenester/IFBP8EQ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/926645714,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Avvikling
'928433986,Bonviere AS,Bonviere AS,,,,,Åviksveien 21,4520,Lindesnes,Lindesnes,Agder,Sørlandet,,Jarle Sundstøl,Daglig leder,305,-122,NOK,,IFCRK8Y10LU,https://www.proff.no/selskap/bonviere-as/lindesnes/arbeidskrafttjenester/IFCRK8Y10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/928433986,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'935054885,Mk Pro AS,Mk Pro AS,,,,,Lyngveien 36,8209,Fauske,Fauske  Fuossko,Nordland,Nord-Norge,,Mathias Kristensen,Styrets leder,305,126,NOK,,IFGPGYT10LU,https://www.proff.no/selskap/mk-pro-as/fauske/arbeidskrafttjenester/IFGPGYT10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/935054885,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'995382792,Perseverante AS,Perseverante AS,,,,,Oredalsåsen 3 H,1613,Fredrikstad,Fredrikstad,Østfold,Østlandet,,Harald Øivind Lunde,Daglig leder,303,150,NOK,,IGGMIA010LU,https://www.proff.no/selskap/perseverante-as/fredrikstad/arbeidskrafttjenester/IGGMIA010LU,https://virksomhet.brreg.no/nb/oppslag/enheter/995382792,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'828806742,E Østigård AS,E Østigård AS,,,,,Stølhaugvegen 3,6475,Midsund,Molde,Møre og Romsdal,Vestlandet,,Elijan Østigård,Daglig leder,302,212,NOK,,IDPG7DI10LU,https://www.proff.no/selskap/e-%C3%B8stig%C3%A5rd-as/midsund/arbeidskrafttjenester/IDPG7DI10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/828806742,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'920541437,Koolit Management AS,Koolit Management AS,,,,,Oscars gate 33 B,0352,Oslo,Oslo,Oslo,Østlandet,1 - 4,Jarle Wærstad Nilsen,Daglig leder,300,-62,NOK,,IF82EBH10LU,https://www.proff.no/selskap/koolit-management-as/oslo/arbeidskrafttjenester/IF82EBH10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/920541437,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'930269883,Zenzone AS,Zenzone AS,'41377584,'41377584,shirin@zenzone.no,https://zenzone.no/,Bogstadveien 27 B,0355,Oslo,Oslo,Oslo,Østlandet,1 - 4,Shirin Victoria Antaki,Daglig leder,296,20,NOK,,IFDUWU310LU,https://www.proff.no/selskap/zenzone-as/oslo/arbeidskrafttjenester/IFDUWU310LU,https://virksomhet.brreg.no/nb/oppslag/enheter/930269883,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'926441558,Kobär AS,Kobär AS,'91119250,'91119250,,,Gudes gate 2 A,1530,Moss,Moss,Østfold,Østlandet,,André Konrad Francis Bärnholdt,Styrets leder,293,-58,NOK,,IFBKUVQ10LU,https://www.proff.no/selskap/kob%C3%A4r-as/moss/arbeidskrafttjenester/IFBKUVQ10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/926441558,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'836315812,Termas AS,Termas AS,,,,,Skjervgata 3,8656,Mosjøen,Vefsn,Nordland,Nord-Norge,,Terje Drevlandsjø,Daglig leder,293,246,NOK,,IDTX5ES10LU,https://www.proff.no/selskap/termas-as/mosj%C3%B8en/arbeidskrafttjenester/IDTX5ES10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/836315812,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'916821301,Prorent AS,Prorent AS,'23358274,'23358274,terje.meiner@gmail.com,,Kurveien 16,0495,Oslo,Oslo,Oslo,Østlandet,1 - 4,Terje Gulbrandsen Meiner,Daglig leder,291,238,NOK,,IF5UNUD10LU,https://www.proff.no/selskap/prorent-as/oslo/arbeidskrafttjenester/IF5UNUD10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/916821301,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'934649621,Medivida AS,Medivida AS,,,,,Ole Bulls gate 6,4630,Kristiansand S,Kristiansand,Agder,Sørlandet,,Kristian August Aamodt Stene,Daglig leder,289,159,NOK,,IFGGS9H10LU,https://www.proff.no/selskap/medivida-as/kristiansand-s/arbeidskrafttjenester/IFGGS9H10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/934649621,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'914813190,Xoy AS,Xoy AS,'+4793029490,,,http://xoy.no/,Barliveien 42,5142,Fyllingsdalen,Bergen,Vestland,Vestlandet,1 - 4,Inge Johan Krossøy,Daglig leder,284,81,NOK,,IF4NMDI10LU,https://www.proff.no/selskap/xoy-as/fyllingsdalen/arbeidskrafttjenester/IF4NMDI10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/914813190,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'929595149,Recruit AS,Recruit AS,'48060618,'48060618,,,Gåsakilen 33 A,5212,Søfteland,Bjørnafjorden,Vestland,Vestlandet,1 - 4,Kjetil Søvik,Daglig leder,283,-36,NOK,,IFDGG7H10LU,https://www.proff.no/selskap/recruit-as/s%C3%B8fteland/arbeidskrafttjenester/IFDGG7H10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/929595149,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'935856558,Smart Bemanning Oppvekst AS,Smart Bemanning Oppvekst AS,,,,,Nøttveitvegen 75,5238,Rådal,Bergen,Vestland,Vestlandet,31,Katharine Gude,Daglig leder,283,-390,NOK,,IFH6NJI10LU,https://www.proff.no/selskap/smart-bemanning-oppvekst-as/r%C3%A5dal/arbeidskrafttjenester/IFH6NJI10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/935856558,,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'920619363,Admento People AS avd Verdal,Admento People AS avd Verdal,,,,,Neptunvegen 6,7652,Verdal,Verdal,Trøndelag,Midt-Norge,1 - 4,,,,,NOK,,IFHJLTO10LU,https://www.proff.no/selskap/admento-people-as-avd-verdal/verdal/arbeidskrafttjenester/IFHJLTO10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/920619363,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'992779209,Prå Eiendom AS,Prå Eiendom AS,,,,,Barthebakken 4,3770,Kragerø,Kragerø,Telemark,Østlandet,,Pål Brekka,Daglig leder,280,-834,NOK,,IGF2PC910LU,https://www.proff.no/selskap/pr%C3%A5-eiendom-as/krager%C3%B8/arbeidskrafttjenester/IGF2PC910LU,https://virksomhet.brreg.no/nb/oppslag/enheter/992779209,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'891714092,Studentwork Sharper AS,Clevry Norway AS,'91908119,'91908119,andrea.kornbrekke@studentwork.com,https://www.studentwork.no,Pilestredet 15 B,0164,Oslo,Oslo,Oslo,Østlandet,,Lucas Sylvester Geisler,Styrets leder,278,223,NOK,,IEQWIZW10LU,https://www.proff.no/selskap/studentwork-sharper-as/oslo/arbeidskrafttjenester/IEQWIZW10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/891714092,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'918835660,R Granbo Invest AS,R Granbo Invest AS,'93068702,'93068702,ragnar@granbovvs.no,,Buengvegen 54 A,7099,Flatåsen,Trondheim,Trøndelag,Midt-Norge,,Ragnar Granbo,Daglig leder,273,9,NOK,,IF71U4S10LU,https://www.proff.no/selskap/r-granbo-invest-as/flat%C3%A5sen/arbeidskrafttjenester/IF71U4S10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/918835660,OK,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'899313402,Frambring AS,Frambring AS,,,,,Vikabakken 14,6777,Stårheim,Stad,Vestland,Vestlandet,,Asle Olav Botn,Daglig leder,269,95,NOK,,IEVFENU10LU,https://www.proff.no/selskap/frambring-as/st%C3%A5rheim/arbeidskrafttjenester/IEVFENU10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/899313402,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
'835408272,Careflex AS,Careflex AS,'97653657,'97653657,orjankr@gmail.com,https://www.careflex.no,Nedre Beiarveien 906,8110,Moldjord,Beiarn,Nordland,Nord-Norge,,Ørjan Kristensen,Daglig leder,268,244,NOK,,IDTDP5C10LU,https://www.proff.no/selskap/careflex-as/moldjord/arbeidskrafttjenester/IDTDP5C10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/835408272,OK,78.100,Rekruttering og formidling av arbeidskraft,AS,Aktiv
'918608591,Johannes Holen Bakken AS,Johannes Holen Bakken AS,,,,,Sørsidevegen 698,6876,Skjolden,Luster,Vestland,Vestlandet,1 - 4,Johannes Holen Bakken,Daglig leder,267,-25,NOK,,IF6WYXB10LU,https://www.proff.no/selskap/johannes-holen-bakken-as/skjolden/arbeidskrafttjenester/IF6WYXB10LU,https://virksomhet.brreg.no/nb/oppslag/enheter/918608591,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,AS,Aktiv
