No.,Công ty,Chức danh,Người liên hệ,SĐT,Liên Hệ,Email,Liên Hệ mail,Địa chỉ,Lương,Ngày đăng,Hạn tuyển,Check gửi,Last Subject,Last Body HTML,Trạng thái Reply,Lần Follow-up,Ngày Follow-up gần nhất,Mailbox đã dùng,Category
120,RB METĀLS,,,'29566343,www.rbmetals.eu,abo@rbmetals.eu,,"Rubeņu ceļš 2D, Jelgava, LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
121,RESERV INC,,,'2011000737127022152,www.reserv.lv,birojs@reserv.lv,,"Liepnieku iela 10; 16, Brocēni, LV-3851",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
122,RĪGAS DĪZELIS DG,,,'67381894,www.rigasdizelis.lv,info@rigasdizelis.com,,"Ganību dambis 36, Rīga, LV-1005",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
123,RIKON,,,'67393156,www.rikon.lv,rikon@rikon.lv,,"Tvaika iela 68B, Rīga, LV-1034",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
124,RIMANS,,,'674596203716761316337167617167,www.rimans.eu,info@rimans.lv,,"Dzirciema 119 k-1, Rīga, LV-1055",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
125,RĪTAUSMAS STEEL CONSTRUCTIONS,,,'6771703437129526391,www.rs-steel.lv,info@rs-steel.lv,,"Rītausmas iela 16, Rīga, LV-1058",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
126,RIX,,,'67892011,www.rix.lv,info@rix.lv,,"Rītausmas iela 23, Rīga, LV-1058",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
127,RNA TECHNOLOGY,,,'29464979,www.rna-tech.com,info@rna-tech.com,,"Inženieru iela 101, Ventspils, LV-3601",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
128,RUBATE METAL,,,'64430377,www.rubatemetal.lv,info@rmetal.lv,,"Baložu iela 4, Gulbene, Gulbenes novads, LV-4401",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
129,RULONAS,,,'28377347,www.rulonas.com,kaspars@rulonas.com,,"Daugavgrīvas iela 81 k-2, Rīga, LV-1007",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
130,SANISTAL,,,'67018600,www.sanistal.lv,sanistal@sanistal.lv,,"Tīraines iela 9, Rīga, LV-1058",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
131,SCANDICAST,,,'25716959,www.scandicast.com,scandicast@scandicast.com,,"Biķernieku iela 18, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
132,SCANDMETALL,,,'20260777,www.scandmetall.lv,info@scandmetall.lv,,"Līvu iela 15, Ikšķile, Ogres nov., LV-5052",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
133,SERTIFIKA,,,'29276906,www.sertifika.lv,info@sertifika.lv,,"Juglas iela 14B, Rīga, LV-1024",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
134,SERTIFIKĀCIJAS UN TESTĒŠANAS CENTRS,,,'64130013,www.stc.lv,info@stc.lv,,"Dārza iela 12, Priekuļi, Priekuļu pag., Cēsu nov., LV-4126",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
135,SFM LATVIA,,,'63082014,www.sfm.lv,nauris@sfm.lv,,"Langervaldes iela 3, Jelgava, LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
136,SIGNUM,,,'63023200,www.signum.lv,signum@signum.lv,,"Lietuvas šoseja 2E, Jelgava, LV-3001",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
137,SILMOR,,,'29129238,www.silmor.eu,info@silmor.eu,,"Brīvības gatve 323, Rīga, LV-1006",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
138,SMARTTEH,,,'20299021,www.smartteh.eu,sales@smartteh.eu,,"Institūta iela 1D, Ulbroka, Stopiņu pag., Ropažu nov., LV-2130",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
139,SMC AUTOMATION,,,'67817700,www.smc.eu/lv-lv,info.lv@smc.com,,"Dzelzavas iela 117, Rīga, LV-1021",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
140,SOLCON,,,'29909053,,projekti@solcon.lv,,"Aizupes, Glūdas pag., Jelgavas nov., LV-3040",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
141,STARS MET,,,'25550011,www.starsmet.com,info@starsmet.com,,"A. Pumpura iela 100, Daugavpils, LV-5404",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
142,STEEL CONSTRUCTIONS,,,'22181181,www.steelconstructions.lv/,info@steelconstructions.lv,,"Trubiņas, Turkalne, Tīnūžu pag., Ogres nov., LV-5015",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
143,STEEL PROFI,,,'29258562,www.steelprofi.lv,info@steelprofi.lv,,"Dārzciema iela 60D, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
144,STEEL WORK,,,'22429565,www.steelwork.lv,info@steelwork.lv,,"Nautrēnu iela 12, Rīga, LV-1079",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
145,STOKKER,,,'67245561,www.stokker.lv,birojs@stokker.com,,"Krasta iela 42, Rīga, LV-1003",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
146,TECHNOWAY INDUSTRIES,,,'28665502,www.technoway.lv,info@technoway.lv,,"Jelgavas iela 88-12, Rīga, LV-1004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
147,TEMESO,,,'26139393,www.temeso.lv,renars@temeso.lv,,"Čiekurkalna 1. līnija 56, Rīga, LV-1026",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
148,TĒRAUDS & KOMPONENTI,,,'67702133,www.uddeholm.com,uddeholm@teraudslat.lv,,"Piedrujas iela 7, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
149,TETRALIA,,,'67146580,www.tetralia.lv,alex@marmors.lv,,"Gaismas 11, Stūnīši, Olaines nov., LV-2127",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
150,TIBNOR LATVIA,,,'29187841,www.tibnor.lv,metals.lv@tibnor.com,,"Ābelīšu iela 2, Mārupe, Mārupes nov., LV-2167",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
151,TIKKURILA,,,'67611135,www.tikkurila.lv,tla-info.lv@ppg.com,,"Krūzes iela 23 K-3, Rīga, LV-1046",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
152,TKL,,,'29139885,www.tkl.lv,edgars@tkl.lv,,"Ūnijas iela 12, Rīga, LV-1084",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
153,TOGET,,,'27276018,www.toget.lv,toget@toget.lv,,"Rožu pr.48B, Garkalnes pag., Ropažu nov., LV-1024",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
154,TORGY BALTIC,,,'63084888,www.torgy.no,torgy.baltic@torgy.no,,"Eglaines iela 13, Ozolnieki, Ozolnieku pag., Jelgavas nov., LV-3018",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
155,TS RĪGA,,,'63020330,www.ts-industrie.eu,dderaedt@groupesee.com,,"Aviācijas iela 18A, Jelgava, LV-3004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
156,TUV NORD BALTIK,,,'24990980,www.tuv-nord.lv,info@tuv-nord.lv,,"Pulka iela 3, Rīga, LV-1007",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
157,UNITRUCK,,,'29188645,www.unitruck.lv,info@unitruck.lv,,"Piebalgas iela 95, Cēsis, Cēsu nov., LV-4101",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
158,VAIROGS-M,,,'67801628,www.vairogsm.lv,office@vairogsm.com,,"Gustava Zemgala gatve 85, Rīga, LV-1039",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
159,VALPRO,,,'64207240,www.valpro.lv,valpro@valpro.lv,,"Linarda Laicena iela 2, Valmiera, Valmieras nov., LV-4201",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
160,VALTANKS,,,'64221047,www.valtanks.lv,valtanks@valtanks.lv,,"Cempu iela 23, Valmiera, Valmieras nov., LV-4201",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
161,VBC GRUP,,,'28232293,www.vbc.lv,info@vbc.lv,,"Gaismas iela 11, Stūnīši, Olaines pag., Olaines nov., LV-2127",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
162,VENTSPILS METINĀŠANAS RŪPNĪCA,,,'63602390,www.vmr.lv,birojs@vmr.lv,,"Rūpniecības iela 39, Ventspils, LV-3601",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
163,VIC TEC,,,'22402659,www.victec.lv,office@victec.lv,,"Aizputes iela 1, K-5, Rīga, LV-1046",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
164,VILVE,,,'29681324,,vilve.sia@gmail.com,,"Krustpils iela 15 - 2, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
165,VLAVI RESURSS,,,,www.vlavi.com,info@vlavi.com,,"Daugavgrīvas iela 83, Rīga, LV-1007",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
166,VR CARS,,,'29211639,www.vrcars.eu,info@vrcars.eu,,"Loka ceļš 49, Jaunmārupe, LV-2166",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
167,VRV TRADING,,,'28778668,www.vrvmetals.lv,info@vrvmetals.lv,,"Pļavas iela 5, Cēsis, Cēsu nov., LV-4101",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
168,WALDEC GROUP (LATVIA),,,'27027956,www.waldecgroup.com/,latvia@waldecgroup.com,,"Atmodas 19, Jelgava, LV-3007",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
169,WEMPS,,,'28632868,www.wemps.eu,info@wemps.eu,,"Straupes iela 3, Rīga, LV-1073",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
170,ZIEGLER,,,'65404111,www.ziegler-gmbh.com,ziegler@ziegler.lv,,"Spaļu iela 3, Daugavpils, LV-5404",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
171,ZIPPY VISION,,,'27770068,www.zippyvision.com,info@zippyvision.com,,"Latgales iela 227, Rīga, LV-1019",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
172,ZN METALS,,,'29555987,www.znmetals.lv,jz@znmetals.lv,,"Aviācijas 18E, Jelgava, LV-3004",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
173,ŽOGU FABRIKA,,,'67214165,www.zogufabrika.lv,sales@zogufabrika.lv,,"Kalnciema ceļš 134A, Jelgava, LV-3002",,,,,,,,0,,,Hiệp hội Cơ khí - Gia công kim loại Latvia (MASOC)
