stt,ten_cong_ty,trang_thai_khop,ten_chinh_thuc_rekvizitai,ma_so_doanh_nghiep,ma_so_thue_vat,so_dien_thoai,email,website,nguoi_dai_dien,chuc_vu,so_nhan_vien,dia_chi_dang_ky,thanh_pho_dang_ky,ma_buu_chinh_dang_ky,nganh_nghe_dang_ky,rekvizitai_url,ma_phe_duyet_traces,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi_traces,thanh_pho_traces,vung_tinh_traces,quoc_gia,tag_doanh_nghiep_maps,facebook_url,dia_chi_maps,nguon_enrich
121,MB TOKA FOOD,MATCH,"Toka food, MB",304749797,LT100011400513,+370 610 19191,,http://www.tokafood.lt,Tomas Karlonas,,1,"Kaštonų g. 56, LT-54310 Kaunas",Kaunas,LT-54310,"Mėsa, mėsos produktai; Tarpininkavimas; Trąšos",https://rekvizitai.vz.lt/imone/toka_food/,520001665,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r. sav., Garliavos apylinkių sen., Pagirių k., Marijampolės g. 27",Pagiriai,Kaunas County,Lithuania,,,,
122,MB Ungurio koja,MATCH,"Ungurio koja, MB",305163577,LT100013310717,+370 620 14301,,,Spyglys Vaitiekūnas,direktorius,10,"Jono Kairiūkščio g. 11-23, LT-08409 Vilnius",Vilnius,LT-08409,Turgavietės,https://rekvizitai.vz.lt/imone/ungurio_koja/,LT 01-089 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Meistrų g. 11,Vilnius,Vilnius County,Lithuania,,,,
123,MB Žibartonių mėsa,MATCH,"Žibartonių mėsa, MB",168961679,LT689616716,+370 45 559116,,http://zibartoniumesa.lt,Evaldas Lukoševičius,,25,"Žibartonių g. 50A, Žibartonių k., LT-38323 Panevėžio r.",Panevėžio r.,LT-38323,"Mėsa, mėsos produktai; Maisto gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/aurelijaus_sadzeviciaus_imone/,LT66-02 EB,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Žibartonių g.50, Žibartonių k., Panevėžio r.",Žibartoniai,Panevezys County,Lithuania,,,,
124,"MBA FOOD, UAB",MATCH,"MBA FOOD, UAB",302720163,LT100006709317,+370 682 18134,,https://www.mesakebabams.lt/,Rasa Gavrilovienė,,6,"Pašto g. 1, Bubiai, LT-54189 Kauno r.",Kauno r.,LT-54189,"Mėsa, mėsos produktai; Didmeninė prekyba; Gamyba; Maisto gamyba; Maisto produktai; Mažmeninė prekyba",https://rekvizitai.vz.lt/imone/mba_food_uab/,52-03,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Parko g. 8, Bubių k., Batniavos sen., Kauno raj.",Bubiai,Kaunas County,Lithuania,,,,
125,"MEL LT, MB",MATCH,"Mel LT, MB",305097903,LT100012294514,+370 655 18014,,,Mindaugas Dumčius,,,"Žalgirio g. 24A, Raudondvario k., Kauno r.",Kauno r.,LT-54115,Maisto produktai,https://rekvizitai.vz.lt/imone/lumeli_lt/,520001776,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Karmėlavos sen., Biruliškių k., Terminalo g. 6",Kaunas,Kaunas County,Lithuania,,,,
126,MV GROUP DISTRIBUTION LT,MATCH,"MV GROUP Distribution LT, UAB",121702328,LT217023219,+370 5 2786069,,http://www.mvgroup.eu,Marijus Cilcius,generalinis direktorius,291,"Aukštaičių g. 7, LT-11341 Vilnius",Vilnius,LT-11341,Gėrimai (alkoholiniai); Didmeninė prekyba; Tabakas,https://rekvizitai.vz.lt/imone/mineraliniai_vandenys/,130001204,1,GEN (General activity establishment - EU),WM - Wholesale Market,"V.A.Graičiūno g. 38, LT-02244 Vilnius",Vilnius,Vilnius County,Lithuania,,,,
127,Mečislovo Mlečkos mėsos gaminių cechas,NO_MATCH,,,,,,,,,,,,,,,LT 41-013 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Miško g. 21,Skaidiškių k.,Vilnius County,Lithuania,,,,
128,"Mogemas, UAB",MATCH,"Mogemas, UAB",175818756,LT758187515,+370 612 22832,,http://www.mogemas.lt,,,12,"Joniškėlio g. 18, LT-39115 Pasvalys",Pasvalys,LT-39115,"Vaistai, medicininės medžiagos; Gamyba",https://rekvizitai.vz.lt/imone/mogemas/,LT82-04EB,1,RPM (Meat products),PP - Processing Plant,Pramonės g. 4,Utena,Utena County,Lithuania,,,,
129,Moguntia Baltija UAB,MATCH,"Moguntia Baltija, UAB",141573894,LT415738917,+370 46 421211,,http://www.moguntia.lt,Vilimas Minkauskas,direktorius,18,"Paupių g. 1, Klemiškės I k., LT-91283 Klaipėdos r.",Klaipėdos r.,LT-91283,Maisto produktai; Konsultacijų paslaugos,https://rekvizitai.vz.lt/imone/moguntia_baltija/,LT 55-01 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,"Paupių g. 1, Klemiškės I k., LT-91291 Klaipėdos r.",Klaipėda,Klaipeda County,Lithuania,,,,
130,NOWACO  A/S,NO_MATCH,,,,,,,,,,,,,,,62497718,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 96, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
131,"Premuita, UAB",MATCH,"Premuita, UAB",123958422,LT239584219,+370 5 2685307,,http://www.premuita.lt,Raimundas Galinauskas,direktorius,28,"Kirtimų g. 69, LT-02244 Vilnius",Vilnius,LT-02244,"Muitinių paslaugos, muitinės; Sandėliavimas; Tarpininkavimas",https://rekvizitai.vz.lt/imone/premuita/,LT 01-32 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,Kirtimų g. 69,Vilnius,Vilnius County,Lithuania,,,,
132,R. Pinaičio IĮ,MATCH,R. Pinaičio IĮ,158299362,LT582993610,+370 447 49717,,,Rimantas Pinaitis,,47,"Ateities g. 5, Girdžių k., LT-74253 Jurbarko r.",Jurbarko r.,LT-74253,"Maisto produktai; Gamyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/r_pinaicio_ii/,LT 94-15 EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Ateities g. 5, Girdžiai, Girdžių sen., Jurbarko r. sav., Tauragės apskr.",Girdžiai,Taurage County,Lithuania,,,,
133,R.Valiulio individuali įmonė,MATCH,"R. Valiulio Firma ""Skreitas""",122349169,,+370 698 23680,,,Remigijus Valiulis,,,"A. Goštauto g. 4-65, Vilnius",Vilnius,,Maisto parduotuvės; Mažmeninė prekyba,https://rekvizitai.vz.lt/imone/r_valiulio_firma_skreitas/,73-05,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Juozapavos k. 3, Rokiškio km. sen., Rokiškio r. sav.",Juozapavos k.,Panevezys County,Lithuania,,,,
134,R.ŠLEPIENĖS ĮMONĖ,NO_MATCH,,,,,,,,,,,,,,,LT 72-08,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,Jono Pauliaus II g.13,Šiluva,Kaunas County,Lithuania,,,,
135,"RIMI Logistics, UAB",MATCH,"RIMI Logistics, UAB",111765230,LT117652314,+370 5 2826001,,http://www.rimi.lt,Vaidas Lukoševičius,,158,"Migūčionių g. 1A, Migūčionių k., LT-26131 Elektrėnai",Elektrėnai,LT-26131,Logistikos paslaugos; Transporto paslaugos,https://rekvizitai.vz.lt/imone/rimi_logistics/,LT 42-04; 42-07,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market | CS - Cold Stores,"Kauno g. 53, Vievis, Vievio sen., Elektrėnų sav.",Vievis,Vilnius County,Lithuania,,,,
136,ROLANDO LAZDAUSKO ĮMONĖ,MATCH,"Rolando Lazdausko įmonė, IĮ",135072042,LT350720411,+370 615 15423,,,Rolandas Lazdauskas,,,"V. Krėvės pr. 46-23, Kaunas",Kaunas,,Maisto parduotuvės; Didmeninė prekyba,https://rekvizitai.vz.lt/imone/rolando_lazdausko_imone/,190003912,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, R. Kalantos g. 76",Kaunas,Kaunas County,Lithuania,,,,
137,Rimutės Povilaitienės firma,MATCH,Rimutės Povilaitienės Firma,159826942,LT598269411,+370 37 540159,,,Rimutė Povilaitienė,,2,"Dvarų g. 47, Kaunas",Kaunas,LT-46399,"Maisto produktai; Gamyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/rimutes_povilaitienes_firma/,19-21,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,"Dvarų g. 47, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
138,Ričardo Lapinsko ūkis,MATCH,Ričardo Lapinsko ūkis,,LT100009455610,+370 686 53527,,http://www.kelmespaukstynas.lt,Savininkas Ričardas Lapinskas,,,"Vilbėno g. 27, Verpenos k., LT-86105 Kelmės r.",Kelmės r.,LT-86105,"Gyvuliai, žvėrys, paukščiai ir jų veisimas",https://rekvizitai.vz.lt/imone/ricardo_lapinsko_ukis/,LT 54-08,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,"Vilbėno g.23, Verpenos k., Kelmės apyl .sen., Kelmės r. sav. LT- 86105",Kelmė,Siauliai County,Lithuania,,,,
139,Romo Goštauto įnd. įmonė,NO_MATCH,,,,,,,,,,,,,,,46-05,1,RPM (Meat products),PP - Processing Plant,"Kauno apskr., Jonavos r. sav., Šilų sen., Praulių k., Žalioji g. 15",Prauliai,Kaunas County,Lithuania,,,,
140,Romualdo Karbausko ind.įmonė,NO_MATCH,,,,,,,,,,,,,,,61-05,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Pumpurų g.25, Reivyčiai, Reivyčių sen., Mažeikių r.sav., Telšių apskr.",Reivyčiai,Telsiai County,Lithuania,,,,
141,Rytis Matuliauskas,NO_MATCH,,,,,,,,,,,,,,,LT 01-102 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Šlamučių g. 20,Vilnius,Vilnius County,Lithuania,,,,
142,S. Momeniškio firma Gurmanas,NO_MATCH,,,,,,,,,,,,,,,LT66-04 EB,1,RPM (Meat products),PP - Processing Plant,"Žalioji g. 1C, Uliūnų k., LT-38241",Uliūnai,Panevezys County,Lithuania,,,,
143,SANITEX UAB,MATCH,UAB SANITEX,110443493,LT104434917,+370 37 401111,,http://www.sanitex.eu,Ramūnas Kairys,,1178,"Raudondvario pl. 131C, LT-47501 Kaunas",Kaunas,LT-47501,Didmeninė prekyba; Kanceliarijos prekės; Logistikos paslaugos; Pardavimo automatai,https://rekvizitai.vz.lt/imone/sanitex_bendra_lietuvos_jav_imone_uab/,110443493,1,GEN (General activity establishment - EU),CS - Cold Stores,"Alšėnų str. 8, 12. Kampiškiai.  Kauno district. LT-53303",Kaunas,Kaunas County,Lithuania,,,,
144,SKAISTGIRIO ŽŪB ŽAGARĖS PIENINĖ,NO_MATCH,,,,,,,,,,,,,,,LT 47-05,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Liepų g. 20C, Skaistgirio mst., Joniškio r. sav.",Skaistgirys,Siauliai County,Lithuania,,,,
145,SPAISVILĖ UAB,MATCH,"Spaisvilė, UAB",300571728,LT100002419010,+370 447 49532,,http://www.spaisvile.lt/index.php/lt/,Sigita Ditkutė,direktorius,84,"Ližių g. 27, Ližių k., Tauragės r.",Tauragės r.,LT-72364,Maisto produktai; Didmeninė prekyba,https://rekvizitai.vz.lt/imone/spaisvile/,LT 94-05 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment,Dirbtuvių g. 5,Sarapiniškiai,Taurage County,Lithuania,,,,
146,Sigitas Petraitis  ŪKININKO ŪKIS,NO_MATCH,,,,,,,,,,,,,,,LT 47- 04,1,GM (Meat of farmed game),SH - Slaughterhouse,"Sodų g.2, Ziniūnai, Joniškio r. sav.",Ziniūnai,Siauliai County,Lithuania,,,,
147,TORES LT UAB,MATCH,"UAB ""Tores LT""",302952546,LT100007414410,+370 686 95443,,,Laimonas Teresa,direktorius,2,"Tvenkinio g. 55, Neveronių k., LT-54478 Kauno r.",Kauno r.,LT-54478,Reklamos paslaugos; Renginių organizavimas,https://rekvizitai.vz.lt/imone/tores_lt/,190008649,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Taikos pr. 94",Kaunas,Kaunas County,Lithuania,,,,
148,Tomas Michalskis,NO_MATCH,,,,,,,,,,,,,,,190012015,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 36, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
149,UAB  SCANDI STANDARD - BALTICS,MATCH,"Scandi Standard-Baltics, UAB",157547221,LT575472219,+370 662 76037,,http://www.scandistandard.com,Mantas Rudaitis,,163,"Liliškių k. 4, Skaistgirys, LT-84385 Joniškio r.",Joniškio r.,LT-84385,"Maisto produktai; Gamyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/delikatesas/,47-08,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse; CP - Cutting Plant,"Liliškių k. 4, Skaistgirio sen. LT-84389 , Joniškio r. sav.",Liliškės,Siauliai County,Lithuania,,,,
150,UAB  ŽVĖRIENA LT,MATCH,"Žvėriena LT, UAB",306050244,LT100015345115,+370 609 27564,,,Martynas Pareigis,,3,"Zavišinės k. 2, Zavišinės k., Kėdainių r.",Kėdainių r.,LT-58410,"Mėsa, mėsos produktai; Maisto gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/zveriena_lt/,53-15,1,WM (Wild game meat),CP - Cutting Plant; GHE - Game-Handling Establishment,"Kūjėnų k.2, Vilainių sen., Kėdainių r",Kūjėnai II,Kaunas County,Lithuania,,,,
151,"UAB "" Dige""",MATCH,"Dige, UAB",302414483,LT100004784515,+370 687 82597,,http://www.dige.lt,Inga Petrušonienė,direktorius,5,"Laukų g. 2K, Tirkšliai, LT-89330 Mažeikių r.",Mažeikių r.,LT-89330,"Žuvininkystė, žuvies produktai; Didmeninė prekyba; Mažmeninė prekyba",https://rekvizitai.vz.lt/imone/uab_dige/,61-09,1,FFP (Fishery products - EU),PP - Processing Plant,"Laukų 2K, Tirkšliai, Mažeikių r. sav,. Telšių apskr.",Tirkšliai,Telsiai County,Lithuania,,,,
152,"UAB """"KLAIPĖDOS ŠALDYTUVŲ TERMINALAS",MATCH,"Klaipėdos šaldytuvų terminalas, UAB",141888089,LT418880811,+370 658 22997,,http://www.nordnix.eu,Sigita Padriezė,direktorė,5,"Šilutės pl. 9, LT-91109 Klaipėda",Klaipėda,LT-91109,Logistikos paslaugos; Ekspedijavimas; Eksportas; Sandėliavimas,https://rekvizitai.vz.lt/imone/klaipedos_saldytuvu_terminalas/,LT 21-06 EB,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,NEMUNO G. 24,Klaipėda,Klaipeda County,Lithuania,,,,
153,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" laivas šaldytuvas JOGVAN I",NO_MATCH,,,,,,,,,,,,,,,LT21-44,1,FFP (Fishery products - EU),ZV - Freezer Vessel,Pylimo g. 4,Klaipėda,Klaipeda County,Lithuania,,,,
154,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" laivas šaldytuvas MARGIRIS",NO_MATCH,,,,,,,,,,,,,,,LT 21-11 EB,1,FFP (Fishery products - EU),ZV - Freezer Vessel; FV - Factory Vessel; FS - Fishing Vessel,"Pylimo g. 4, LT-91249, Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
155,"UAB ""ATLANTIC HIGH SEA FISHING COMPANY"" Žuvų Perdirbimo Laivas ""Nida""",NO_MATCH,,,,,,,,,,,,,,,LT 21-05 EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),ZV - Freezer Vessel; FV - Factory Vessel | RV - Reefer Vessel,"Pylimo g. 4, LT-91249, Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
156,"UAB ""AVITRA""",MATCH,"Avitra, UAB",300128362,LT100009444211,+370 610 39361,,,,,5,"Laukų g. 6, LT-97148 Kretinga",Kretinga,LT-97148,Maisto produktai; Gamyba,https://rekvizitai.vz.lt/imone/avitra/,LT 56-03 EB,1,RPM (Meat products),PP - Processing Plant,"Laukų g. 6, LT-97148 Kretinga",Kretinga,Klaipeda County,Lithuania,,,,
157,"UAB ""Amber Terminal Klaipėda""",MATCH,"Amber Terminal Klaipėda, UAB",305196890,LT100012450717,+370 674 99610,,,Julius Žilinskas,direktorius,66,"Šilutės pl. 125, Klaipėda",Klaipėda,LT-95112,Transporto paslaugos,https://rekvizitai.vz.lt/imone/klaipedos_intermodalinis_terminalas/,21-43,1,GEN (General activity establishment - EU),CS - Cold Stores,"Šilutės pl. 125, Klaipėdos m. sav.",Klaipėda,Klaipeda County,Lithuania,,,,
158,"UAB ""Art Glacio""",MATCH,"Art Glacio, UAB",303131399,LT100008019714,+370 698 29759,,https://www.artglacio.lt/,Arūnas Simutis,direktorius,126,"Pilviškių g. 48, Vilkaviškis",Vilkaviškis,LT-70150,"Pienas, pieno produktai; Gamyba; Kita veikla; Maisto gamyba",https://rekvizitai.vz.lt/imone/art_glacio/,LT 39-10P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Pilviškių g. 48, Vilkaviškis",Vilkaviškis,Marijampole County,Lithuania,,,,
159,"UAB ""Baltic food partners""",MATCH,"Baltic food partners, UAB",302410321,LT100004953911,+370 448 73170,,,Mantas Baltraitis,,328,"Birutės skg. 8, Macenių k., Plungės r.",Plungės r.,LT-90100,Maisto produktai; Gamyba,https://rekvizitai.vz.lt/imone/uab_baltic_food_partners/,520002065,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Veterinarų g. 53, Biruliškių k., Karmėlavos sen., Kauno r.",Biruliškės,Kaunas County,Lithuania,,,,
160,"UAB ""Baltijos mėsos grupės logistika""",MATCH,"UAB ""Baltijos Mėsos Grupės Logistika""",300594164,LT100003647811,+370 655 10000,,http://www.bmglogistika.lt,Gintaras Valančius,,1,"Karklinikų g. 51, Karklė, LT-92383 Klaipėdos r.",Klaipėdos r.,LT-92383,Investicinė veikla,https://rekvizitai.vz.lt/imone/uab_baltijos_mesos_grupes_logistika/,LT 21-02 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,"Verslo g. 8, Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
161,"UAB ""Baltlanta"" Žvejybinis Laivas ""IEVA SIMONAITYTĖ""",NO_MATCH,,,,,,,,,,,,,,,LT 21-27 EB,1,FFP (Fishery products - EU),FV - Factory Vessel; ZV - Freezer Vessel; FS - Fishing Vessel,"Liepų g. 48B, LT-92107 Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
162,"UAB ""Baltlanta"" Žvejybinis Laivas ""Simonas Daukantas""",NO_MATCH,,,,,,,,,,,,,,,LT 21-26 EB,1,FFP (Fishery products - EU),FS - Fishing Vessel; ZV - Freezer Vessel; FV - Factory Vessel; RV - Reefer Vessel,"Liepų g. 48B, LT-92107 Klaipėda",Klaipėda,Klaipeda County,Lithuania,,,,
163,"UAB ""Belvederio""",MATCH,"Belvederio, UAB",300106070,LT100001602417,+370 345 44224,,http://www.luksiupienine.lt,Žygimantas Čiūta,,109,"Barkūnų g. 25, LT-74111 Jurbarkas",Jurbarkas,LT-74111,"Maisto produktai; Didmeninė prekyba; Gamyba; Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/luksiu_pienine/,LT94-02P EB; LT94-03P EB; LT 84-01; LT94-06 EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Belvederio k., Seredžiaus sen., Jurbarko r. sav.",Seredžius,Taurage County,Lithuania,,,,
164,"UAB ""Bomesa""",MATCH,"Bomesa, UAB",301505859,LT100003752219,+370 671 65005,,,Giedrius Ralys,direktorius,10,"Sodų g. 3, Baltrušių k., LT-71286 Šakių r.",Šakių r.,LT-71286,"Mėsa, mėsos produktai; Gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/uab_bomesa/,LT 84-03,1,RPM (Meat products),PP - Processing Plant,"Sodų g. 3, Baltrušių k., Barzdų sen., Šakių r. sav.",Baltrušiai,Marijampole County,Lithuania,,,,
165,"UAB ""Broileta""",MATCH,"Broileta, UAB",300574037,LT100002884218,+370 687 72186,,,Edita Baranauskienė,direktorė,17,"Kernuvių k. 3, Kernuvių k., LT-59221 Birštonas",Birštonas,LT-59221,"Maisto produktai; Didmeninė prekyba; Mažmeninė prekyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/broileta/,LT-12-01 EB,1,RPM (Meat products),PP - Processing Plant,"Kernuvių k., 3, Birštono sav.",Kernuvės,Kaunas County,Lithuania,,,,
166,"UAB ""DVARO ŽUVYS""",MATCH,"Dvaro žuvys, UAB",174369828,LT743698219,+370 345 68742,,,Mindaugas Simutis,,18,"Morkų k. 8, Morkų k., LT-71205 Šakių r.",Šakių r.,LT-71205,"Žuvininkystė, žuvies produktai; Gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/smulkios_zuvys/,LT 84-04,1,FFP (Fishery products - EU),PP - Processing Plant,"Žeimio k., Kriūkų sen., Šakių r. sav.",Žeimis,Marijampole County,Lithuania,,,,
167,"UAB ""Daivida"" Mėsos gaminių cechas (Tauragės padalinys)",NO_MATCH,,,,,,,,,,,,,,,77- 02,1,RPM (Meat products),PP - Processing Plant,"Vėjų g. 8, Ąžuolynės k., Gaurės sen., Taurgaės r.,sav.",Tauragė,Taurage County,Lithuania,,,,
168,"UAB ""Dauparų Žuvis""",MATCH,"Dauparų žuvis, UAB",163659762,LT636597610,+370 650 16651,,,Ramūnas Vaškys,,89,"Šilo g. 7, LT-99149 Šilutė",Šilutė,LT-99149,"Žuvininkystė, žuvies produktai; Didmeninė prekyba; Gamyba",https://rekvizitai.vz.lt/imone/dauparu_zuvis/,LT 88-04 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Šilo g. 7, LT-99149, Šilutė",Šilute,Klaipeda County,Lithuania,,,,
169,"UAB ""Dragsbaek Lietuva""",MATCH,"Dragsbaek Lietuva, UAB",110810384,LT108103811,+370 5 2333164,,http://www.vmg.lt,Christian Munk,,24,"Zietelos g. 3, LT-03160 Vilnius",Vilnius,LT-03160,Maisto produktai; Gamyba; Maisto gamyba,https://rekvizitai.vz.lt/imone/vilniaus_margarino_gamykla/,01-50,1,GEN (General activity establishment - EU),WM - Wholesale Market; RW - Re-wrapping Establishment,"Zietelos g. 3, Vilnius",Vilnius,Vilnius County,Lithuania,,,,
170,"UAB ""Dulvira""",MATCH,"Dulvira, UAB",148162283,LT481622811,+370 45 436226,,,,,1,"Kėdainių g. 25, Panevėžys",Panevėžys,LT-36255,Nekilnojamasis turtas; Patalpų nuoma,https://rekvizitai.vz.lt/imone/dulvira/,LT27-18 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,"Kėdainių g. 25, Panevėžys",Panevežys,Panevezys County,Lithuania,,,,
171,"UAB ""FISH FACTORY""",MATCH,"Fish factory, UAB",305931870,LT100014528415,+370 655 63510,,http://fishfactory.lt,,,31,"Taikos pr. 15B-2, LT-31107 Visaginas",Visaginas,LT-31107,"Žuvininkystė, žuvies produktai",https://rekvizitai.vz.lt/imone/fish_factory/,LT 85-07,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market; PP - Processing Plant | CS - Cold Stores; RW - Re-wrapping Establishment,"Vilniaus apskr., Šalčininkų r. sav., Šalčininkų sen., Šalčininkai, Vilniaus g. 3",Šalčininkai,Vilnius County,Lithuania,,,,
172,"UAB ""Foksas""",MATCH,"FOKSAS, UAB",302546225,LT100005640310,+370 670 06760,,http://www.foksas.com,Aurimas Bagdanavičius,,32,"Raudondvario k. 1C, Raudondvario k., Zarasų r.",Zarasų r.,LT-32101,Maisto produktai; Importas; Maisto gamyba; Sveiki produktai,https://rekvizitai.vz.lt/imone/foksas/,01-60,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Ugniagesių g. 14, Vilniaus m. sav.",Vilnius,Vilnius County,Lithuania,,,,
173,"UAB ""GIEMEDA""",NOT_FOUND,,,,,,,,,,,,,,,730000934,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Lukštų g. 12-6, Lukštų k., Juodupės sen., Rokiškio r. sav., Lietuva",Lukštai,Panevezys County,Lithuania,,,,
174,"UAB ""Gardulis""",NOT_FOUND,,,,,,,,,,,,,,,LT 39-24,1,RPM (Meat products),PP - Processing Plant,"J. Basanavičiaus g. 57a, Kybartai",Kybartai,Marijampole County,Lithuania,,,,
175,"UAB ""Geld Baltic""",NOT_FOUND,,,,,,,,,,,,,,,LT 27-09 EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | RW - Re-wrapping Establishment,Ramygalos g. 149 e,Panevežys,Panevezys County,Lithuania,,,,
176,"UAB ""Gergidita""",NOT_FOUND,,,,,,,,,,,,,,,18-02,1,RM (Meat of domestic ungulates),CP - Cutting Plant,"Šešupės g. 66, Mokolų k., Šunskų sen., Marijampolės sav.",Mokolai,Marijampole County,Lithuania,,,,
177,"UAB ""Girjuda""",NOT_FOUND,,,,,,,,,,,,,,,LT 51-09,1,RPM (Meat products),PP - Processing Plant,"Uosio g. 8, Pietarių k., Marijampolės sen., Marijampolės sav.",Pietariai,Marijampole County,Lithuania,,,,
178,"UAB ""Gulbelė""",NOT_FOUND,,,,,,,,,,,,,,,84-006V,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"V. Kudirkos g. 61, Šakiai",Šakiai,Marijampole County,Lithuania,,,,
179,"UAB ""Handelshus""",NOT_FOUND,,,,,,,,,,,,,,,01-29,1,GEN (General activity establishment - EU),WM - Wholesale Market; RW - Re-wrapping Establishment; CS - Cold Stores,"Savanorių pr. 180, Vilnius, Vilniaus m. sav.",Vilnius,Vilnius County,Lithuania,,,,
180,"UAB ""ICECO Assets""",NOT_FOUND,,,,,,,,,,,,,,,18-20; LT 51-12,1,GEN (General activity establishment - EU),CS - Cold Stores,"Ledo g. 3, Liepynų k., Liudvinavo sen., Marijampolės sav.",Liepynai,Marijampole County,Lithuania,,,,
181,"UAB ""Iceco Ledai""",NOT_FOUND,,,,,,,,,,,,,,,LT 51-03 P EB; 520002100,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | WM - Wholesale Market,"Ledo g. 1, Liepynų k., LT-68126 Marijampolė",Marijampolė,Marijampole County,Lithuania,,,,
182,"UAB ""Iceco Žuvis""",NOT_FOUND,,,,,,,,,,,,,,,LT 51-06 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Vasaros g. 99, Liepynų k., Liudvinavo sen., Marijampolės sav.",Liepynai,Marijampole County,Lithuania,,,,
