stt,name,business_id,website,email,phone,address,postal_code,city,cities_all,province,keywords_found,offices_count,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url,tag_doanh_nghiep_maps,dia_chi_maps,nguon_enrich
971,Huska Liikennepalvelu,3239540-6,,,,Smoltinkaari 1 C 62,00730,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3671954,,,
972,Huubse Taksipalvelut Oy,3418964-9,,,,,,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,38,1,-4,,,https://www.finder.fi/yritys/4076835,,,
973,HySaMa Oy,3143334-3,,samulihyry9@gmail.com,044 782 2435,Kenttämarssi 1 E 37,90670,OULU,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,58,,18,,,https://www.finder.fi/yritys/3500069,,,
974,Hymnier Oy,3370130-5,https://www.wirestaff.fi,sari.nordlin@wirestaff.fi,050 394 8760,Ruissalontie 12 C,20200,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1052,22,17,,,https://www.finder.fi/yritys/4014899,,,
975,Hypercreative Oy,3248093-4,,jariprivate@gmail.com,050 583 7101,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,24,,4,,,https://www.finder.fi/yritys/3693227,,,
976,Hyra Works Oy,3412513-5,,,,,,RIIHIKOSKI,RIIHIKOSKI,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1607,38,44,,,https://www.finder.fi/yritys/4069609,,,
977,Hyrworks Oy,3609387-8,,info@hyrworks.fi,046 591 9438,Hämeentie 157,00560,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4285819,,,
978,1-Maakari Ky,2378658-7,https://www.luonnon-kaunis.fi,maarit.viitasaari@netikka.fi,040 739 1264,Nikolaintie 2,61100,PERÄSEINÄJOKI,PERÄSEINÄJOKI,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,47750,Kosmetiikka- ja hygieniatuotteiden vähittäiskauppa,Henkilöstövuokraus,Kommandiittiyhtiö,,,,,,https://www.finder.fi/yritys/2482275,,,
979,Hyvärinen Yhtiöt Oy,0692586-4,,,02 435 5270,Peltotie 30,21270,NOUSIAINEN,NOUSIAINEN,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,69,,,https://www.finder.fi/yritys/174561,,,
980,Hämäläinen Ostaa Soininen Myy Tai Toisin Päin Oy,3172640-2,,hosmttoy@gmail.com,040 660 6799,Kauppakatu 35,80100,JOENSUU,JOENSUU,Pohjois-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,94,1,1,,,https://www.finder.fi/yritys/3542505,,,
981,Hönötix Oy,3603300-7,,tuhkasenjussi@gmail.com,040 719 4309,Bostoninkaari 8 A 13,04320,TUUSULA,TUUSULA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4279404,,,
982,I & J Laakkonen Oy,3393382-7,,,,,,KUUSAMO,KUUSAMO,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,76,,10,,,https://www.finder.fi/yritys/4045468,,,
983,IGE Fin Oy,3155135-8,,,,Päivänkakkarantie 10,02270,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1,,-15,,,https://www.finder.fi/yritys/3520148,,,
984,IKI-rekry Oy,3531867-6,,,,,,Mikkeli,Mikkeli,Etelä-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4201749,,,
985,IMDD Rakennus ja siivous,2894602-5,,dari.asenova123@gmail.com,040 809 1987,Kappelinmäentie 5 D 33,65370,VAASA,VAASA,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3210277,,,
986,IRE Finland,3497064-6,,johanna.rahko@hotmail.com,050 465 6924,,,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4163336,,,
987,ITY Oy,3534356-4,,,,,,JÄRVENPÄÄ,JÄRVENPÄÄ,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,60,1,3,,,https://www.finder.fi/yritys/4203704,,,
988,ITuGroup Oy,3407828-7,,,,Pukkilahdentie 46,85800,HAAPAJÄRVI,HAAPAJÄRVI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,9,1,,,,https://www.finder.fi/yritys/4060847,,,
989,IV Group Oy,2531653-8,,hege.koljonen@gmail.com,040 772 1835,Muonamiehentie 11,00390,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,323,4,10,,,https://www.finder.fi/yritys/2774019,,,
990,Ifiye palvelut Oy,3609208-2,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4285541,,,
991,IiDuuni Oy,3585645-8,,,,,,HAAPAVESI,HAAPAVESI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4256946,,,
992,Ikaalisten Toimihenkilöpalvelu Viitamäki Ky,0675578-9,,,,Vanha Tampereentie 3 A 2,39500,IKAALINEN,IKAALINEN,Pirkanmaan maakunta,Henkilöstövuokraus,1,69201,"Laskentatoimi, kirjanpito ja veroneuvonta",Henkilöstövuokraus; Isännöitsijätoimisto; Toimistopalvelut,Kommandiittiyhtiö,,,,,,https://www.finder.fi/yritys/115693,,,
993,Ikhlas Y Oy,3368325-8,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,44,,,,,https://www.finder.fi/yritys/4012446,,,
994,Ilmiö Consulting Oy,3521881-9,https://www.ilmiotalent.fi,atte@ilmiotalent.fi,050 542 4881,Mikonkatu 22 D 42,00100,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,153,,4,,,https://www.finder.fi/yritys/4192208,,,
995,Ilo Duunata Oy,3513313-7,https://www.iloduunata.fi,info@iloduunata.fi,044 024 1307,Itäkaari 28 A 14,20750,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4183288,,,
996,Indus Manpower Solutions Oy,3482096-3,,antti.siltanen@dndaccounting.fi,050 521 0217,Punavuorenkatu 20 D 37,00150,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4146445,,,
997,InfraFour Oy,3222607-1,https://www.infrafour.fi,simo.ruottunen@infrafour.fi,040 037 3044,Hiomotie 19,00380,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,42990,Muualla luokittelematon muu maa- ja vesirakentaminen,Henkilöstövuokraus; Maanrakennus ja maansiirto,Osakeyhtiö,3612,53,241,,,https://www.finder.fi/yritys/3615176,,,
998,Inizia Oy,3523205-5,,inizia727@gmail.com,041 495 2262,,,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,218,,-22,,,https://www.finder.fi/yritys/4193342,,,
999,Innofarma Oy,3359551-4,https://www.innofarma.fi,paivi@innofarma.fi,,,,PORVOO,PORVOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,87,1,5,,,https://www.finder.fi/yritys/4002115,,,
1000,Inpa-Palvelut Oy,3612894-6,,,,,,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4293837,,,
1001,Installers - Asentajat Oy,3601730-6,,,,Salmitie 3,02430,MASALA,MASALA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4277677,,,
1002,International Workforce Oü Sivuliike Suomessa,3344392-4,,info@workforcesuomi.fi,,Päivänkakkarantie 10,02270,ESPOO,ESPOO,,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Ulkom.elinkeinonharj.sivuliike,,,,,,https://www.finder.fi/yritys/4127994,,,
1003,Invapple Oy,2704842-6,,jarno@transedu.fi,040 530 1397,Kivikonlaita 45,00940,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1249,36,,,,https://www.finder.fi/yritys/3091392,,,
1004,Invisite Oy,3595032-1,,,,,,SIPOO,SIPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4269899,,,
1005,Invoicery Suomi Oy,2824931-8,,info@invoicery.fi,020 730 0320,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,245,12,-203,,,https://www.finder.fi/yritys/3167823,,,
1006,Invosy Finland Oy,3413106-8,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,44,,1,,,https://www.finder.fi/yritys/4070177,,,
1007,Ipin Maatalouspalvelu Oy,3354255-1,,,,,,NIVALA,NIVALA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,45,1,9,,,https://www.finder.fi/yritys/3994870,,,
1008,Irenrev Oy,3416006-1,,,,,,PERÄSEINÄJOKI,PERÄSEINÄJOKI,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,79,1,5,,,https://www.finder.fi/yritys/4073731,,,
1009,Ivalonjoen kyläosuuskunta-Tolonen,1456417-3,,,050 070 9418,,,IVALO,IVALO,Lapin maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Vuokramökit,Osuuskunta,2,,-3,,,https://www.finder.fi/yritys/824392,,,
1010,J&J-Vuokraus Oy,2567894-2,,,040 504 6099,Yrittäjäntie 20,94450,KEMINMAA,KEMINMAA,Lapin maakunta,Henkilöstövuokraus,1,77110,Autojen ja kevyiden moottoriajoneuvojen vuokraus ja leasing,Henkilöstövuokraus,Osakeyhtiö,,,-12,,,https://www.finder.fi/yritys/2831638,,,
1011,J&T Palvelut Oy,3309444-5,,,,Kattilarinne 29,70840,KUOPIO,KUOPIO,Pohjois-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,1,16,,,https://www.finder.fi/yritys/3860736,,,
1012,J-M Kinnunen Works Oy,2790896-7,,ravintolaohrantahka@gmail.com,,Korpilahdentie 7,41800,KORPILAHTI,KORPILAHTI,Keski-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,-3,,,https://www.finder.fi/yritys/3148453,,,
1013,J. Lehtola Oy,3123071-4,,lehtolajp@gmail.com,045 202 5600,Havukkatie 9,41120,PUUPPOLA,PUUPPOLA,Keski-Suomen maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,-1,,,https://www.finder.fi/yritys/3370195,,,
1014,J.Käkelä Oy,3420522-3,,,,,,KARINKANTA,KARINKANTA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,28,,,,,https://www.finder.fi/yritys/4078743,,,
1015,J.Piiroinen Oy,3491182-2,,,,,,KELLOKOSKI,KELLOKOSKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,86,1,6,,,https://www.finder.fi/yritys/4153940,,,
1016,JA-Timbertec,3396032-3,,jeremias.timbercare@gmail.com,040 771 6550,Byvägen 205,68555,BOSUND,BOSUND,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4048375,,,
1017,JEH Palvelut Oy,3569063-8,,,,,,TYRNÄVÄ,TYRNÄVÄ,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4240020,,,
1018,JEP Henkilöstöratkaisut Oy,2705932-8,https://www.jephenkilostoratkaisut.fi,maiju@jephenkilostoratkaisut.fi,050 461 6016,Pirkkalaistori 8 lh. 16,37100,NOKIA,NOKIA,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1077,19,5,,,https://www.finder.fi/yritys/3092144,,,
1019,JESA Palvelut,2836486-9,,jesse.tp.saarinen@gmail.com,041 539 9600,Mäyrääntie 201,03100,NUMMELA,NUMMELA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3175146,,,
1020,JFY-Finland Oy,3086024-7,https://www.jfy.fi,,013244 15,Karjalankatu 8,08150,LOHJA,LOHJA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,23,,5,,,https://www.finder.fi/yritys/3325590,,,None
1021,JHS Personnel Oy,1483498-9,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3118,82,5,,,https://www.finder.fi/yritys/486262,,,
1022,JJ Henkilöstövuokraus Oy,3636804-2,,jere.jussilaa@gmail.com,044 940 7230,Keskusväylä 10,96910,ROVANIEMI,ROVANIEMI,Lapin maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4319243,,,
1023,JJP Ratkaisut Oy,3260802-9,,,044 065 5289,Sortteerinpolku 2 A 9,57170,SAVONLINNA,SAVONLINNA,Etelä-Savon maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/3765051,,,
1024,JK Trans Oy,3486236-2,,jktrans@elisanet.fi,,,,SEINÄJOKI,SEINÄJOKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4150495,,,
1025,JKA Henkilöstöpalvelut Oy,3553135-4,,,,,,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4222227,,,
1026,JLA-invest Oy,3149734-7,,,040 031 0212,,,SÄYNÄTSALO,SÄYNÄTSALO,Keski-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,127,,-22,,,https://www.finder.fi/yritys/3506079,,,
1027,JM Maritime Oy,3498095-9,,,,,,YLÄMYLLY,YLÄMYLLY,Pohjois-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,28,1,17,,,https://www.finder.fi/yritys/4164427,,,
1028,JMA Solutions Oy,2857781-3,,,,Jyväkatu 2,05880,HYVINKÄÄ,HYVINKÄÄ,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,147,3,-27,,,https://www.finder.fi/yritys/3188242,,,
1029,JMK Staff Oy,3605733-2,,,,Telkkätie 3 A,90150,OULU,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4282018,,,
1030,JMS Team Oy,3148108-9,https://www.jmsteam.fi,juha.moilanen@jmsteam.fi,050 552 9682,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,49420,Muuttopalvelut,Henkilöstövuokraus,Osakeyhtiö,365,,14,,,https://www.finder.fi/yritys/3503825,,,
1031,JN Agri,3363617-9,,,,,,KRUUNUPYY,KRUUNUPYY,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4006806,,,
1032,JN. Nousiainen Oy,3409124-6,,,040 013 1872,Lapinlahdentie 1781 B,73100,LAPINLAHTI,LAPINLAHTI,Pohjois-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,100,1,15,,,https://www.finder.fi/yritys/4064759,,,
1033,JPP-Palvelu,2731022-8,,jukka.p.piiroinen@gmail.com,040 574 7899,,,KANGASALA,KANGASALA,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3107319,,,
1034,JR Event Oy,3474251-2,,,,,,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4137882,,,
1035,JR Psykiatri Ab Oy,3464059-1,,,,,,VAASA,VAASA,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,289,1,137,,,https://www.finder.fi/yritys/4126526,,,
1036,JS Konepalvelut Oy,3597304-8,,,,,,HÄMEENLINNA,HÄMEENLINNA,Kanta-Hämeen maakunta,Henkilöstövuokraus,1,43120,Rakennuspaikan valmistelutyöt,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4272356,,,
1037,JSI Ammattirekry Oy,2816226-3,,toimisto@amisrekry.fi,045 787 705 00,Jarrumiehenkatu 3 A,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,4,,,https://www.finder.fi/yritys/3161515,,,
1038,JStrawberry,3449505-6,,jstrawberry24@hotmail.com,045 341 3821,Mansikintie 14,52300,RISTIINA,RISTIINA,Etelä-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4111729,,,
1039,JT Laaksonen Oy,3207317-5,,,044 975 3599,Marinkallio 8 B 29,02320,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,63,1,16,,,https://www.finder.fi/yritys/3584070,,,
1040,JTM-Yhtiöt Oy,3180598-7,,lahdenperavaunukeskus@gmail.com,040 099 9922,,,LAHTI,LAHTI,Päijät-Hämeen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,19,,9,,,https://www.finder.fi/yritys/3554265,,,
1041,JTV-Partner Oy,2249818-8,https://www.jtv-partner.fi,rekrytointi@jtv-partner.fi,050 444 3112,Jasperintie 5,33960,PIRKKALA,PIRKKALA,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,HR-konsultointi; Henkilöstövuokraus,Osakeyhtiö,15259,,-13,,,https://www.finder.fi/yritys/2097404,,,
1042,JWD Palvelut Oy,2908816-5,https://www.jwdpalvelut.fi,karo.lehto@jwdpalvelut.fi,040 166 3747,Malminkaari 9 A,00700,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,2418,33,-32,,,https://www.finder.fi/yritys/3223315,,,
1043,Jaanatiina Oy,1099015-9,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2109,58,5,,,https://www.finder.fi/yritys/486256,,,
1044,Jabir venture,3499020-9,,khairul.m.amin@gmail.com,046 586 4731,Lauri Korpisen Katu 8 A 1,01370,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4165441,,,
1045,Jade Advertising Model Agency Oy,2728108-4,https://www.jademodel.fi,jatta@jademodel.fi,045 352 4445,,,HÄMEENLINNA,HÄMEENLINNA,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,84,1,26,,,https://www.finder.fi/yritys/3105745,,,
1046,Jakaar Oy,3620816-1,,,,,,OKSAVA,OKSAVA,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4302084,,,
1047,JakeMa Palvelut Oy,2986877-8,https://www.kotijahoivapalveluiikku.fi,markomakinen0@gmail.com,044 018 6865,Korpi-Jaakonkatu 5,80220,JOENSUU,JOENSUU,Pohjois-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,19,1,-4,,,https://www.finder.fi/yritys/3270304,,,
1048,Jakobsson & Son Oy,2593434-4,,ottojakobsson@gmail.com,050 369 4763,Kaskisavu 13 as. 3,02340,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,4,,,,,https://www.finder.fi/yritys/2860038,,,
1049,Ab Royahl Oy,0647060-1,,info@crystalart.fi,,Norrmalmsgatan 8,68600,PIETARSAARI,PIETARSAARI,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,70,,12,,,https://www.finder.fi/yritys/864473,,,
